job_index,Well,Tipe Acid,Sandstone,Siltstone,Claystone,Shale,Coal,Limestone,IPR Vogel sebelum pengasaman (BFPD),Vogel Setelah Pengasaman BFPD,Layer Target,Batas Reservoar,Interval(ft),gain,well_norm,computed_delta_bfpd,computed_gain_ratio,gain_abs_delta_from_source,response_class,lithology_sum,iqr_training_scope,clr_sandstone,clr_siltstone,clr_claystone,clr_shale,clr_coal,clr_limestone,before_bfpd_per_ft,log1p_before_bfpd,log1p_interval_ft,reservoir_top,reservoir_bottom,reservoir_midpoint,reservoir_gross_span,reservoir_net_span,reservoir_gap_span,reservoir_segment_count,reservoir_continuity_ratio,interval_net_discrepancy,sand_fraction,fines_fraction,carbonate_fraction,coal_fraction,sand_to_fines_ratio,carbonate_to_clastic_ratio,clean_sand_index,lithology_entropy,lithology_nonzero_count,dominant_lithology,before_bfpd_per_net_span,before_bfpd_per_gross_span,well_area,layer_family,hcl_concentration_pct,hf_concentration_pct,mud_acid_flag,mud_acid_x_sand,mud_acid_x_fines,hcl_x_carbonate,hf_x_silicate,las_depth_coverage,las_sample_count,las_gamma_median,las_gamma_iqr,las_porosity_median,las_porosity_iqr,las_density_median,las_log_resistivity_median,las_sonic_median,las_water_saturation_median,las_clay_volume_median,las_log_permeability_median,las_available_signal_count,las_hydrocarbon_pore_proxy,las_quality_proxy,las_kh_proxy,las_clay_lithology_difference,split
1,BEL-012,Mud Acidizing 12% HCl : 3% HF,70,0,0,30,0,0,510,902,Lay. S (1516.3-1519.5  & 1521-1523) mMD,1516.3-1523,6.7,0.768627451,BEL-012,392,0.7686274509803922,1.9607759860207352e-11,low_gain,100,kept,3.438820931286255,-1.5099389590919134,-1.5099389590919134,2.600934905081398,-1.5099389590919134,-1.5099389590919134,76.11940298507463,6.236369590203704,2.0412203288596382,1516.3,1523.0,1519.65,6.7000000000000455,6.7000000000000455,0.0,1.0,1.0,4.529709940470639e-14,0.7,0.3,0.0,0.0,2.290322580645161,0.009900990099009901,0.39999999999999997,0.6108643020548935,2.0,Sandstone,76.1194029850741,76.1194029850741,BEL,S,12.0,3.0,1.0,0.7,0.3,0.0,3.0,6.553200000000061,44.0,,,0.13990000000000002,0.04139999999999999,,,,0.52005,,5.73457329199694,3.0,0.06714500500000001,0.385047952364001,38.421641056379755,,train
2,LMC-041A,Matrix Acidizing 15% HCl,75,0,0,21,4,0,38,92,Lay. X0 (1641-1644) & 1656-1667.89) mMD,1641-1644; 1656-1667.89,14.89,1.421052632,LMC-041A,54,1.4210526315789473,4.210527482229054e-10,high_gain,100,kept,3.1879957485074737,-1.829284088307451,-1.829284088307451,1.9319160273861116,0.3679404890287685,-1.829284088307451,2.552048354600403,3.6635616461296463,2.7656899805486246,1641.0,1667.89,1654.4450000000002,26.8900000000001,14.8900000000001,12.0,2.0,0.553737448865751,9.947598300641403e-14,0.75,0.21,0.0,0.04,3.4545454545454546,0.010309278350515464,0.54,0.6722526144691441,3.0,Sandstone,2.5520483546003856,1.413164745258455,LMC,X,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,validation
3,L5A-260,Mud Acidizing 12% HCl : 3% HF,33,0,0,62,5,0,136,261,Lay. R5 (1593-1595) m,1593-1595;,2.0,0.919117647,L5A-260,125,0.9191176470588235,5.882350162522698e-11,high_gain,100,kept,2.2995423478090267,-1.90515027158194,-1.90515027158194,2.923163465720361,0.4927450012164307,-1.90515027158194,68.0,4.919980925828125,1.0986122886681098,1593.0,1595.0,1594.0,2.0,2.0,0.0,1.0,1.0,0.0,0.33,0.62,0.0,0.05,0.5396825396825398,0.010416666666666668,-0.29,0.812027476354491,3.0,Shale,68.0,68.0,L5A,R,12.0,3.0,1.0,0.33,0.62,0.0,2.8499999999999996,,,,,,,,,,,,,,,,,,train
5,BEL-042,Mud Acidizing 12% HCl : 3% HF,41,0,0,42,17,0,174,361,Lay. S (1606-1609) mMD,1606-1609;,3.0,1.074712644,BEL-042,187,1.0747126436781609,3.2183922193951275e-10,high_gain,100,kept,2.3493672868338766,-2.069473320962721,-2.069473320962721,2.3731779355275955,1.4858747405266928,-2.069473320962721,58.0,5.1647859739235145,1.3862943611198906,1606.0,1609.0,1607.5,3.0,3.0,0.0,1.0,1.0,0.0,0.41,0.42,0.0,0.17,0.9767441860465116,0.011904761904761906,-0.010000000000000009,1.0311381304707536,3.0,Shale,58.0,58.0,BEL,S,12.0,3.0,1.0,0.41,0.42,0.0,2.4899999999999998,2.743199999999888,19.0,,,0.2121,0.018525000000000014,,,,0.5125,0.1029,6.312797764886391,4.0,0.10339875000000001,0.6527353978920468,18.938393294659175,0.3171,train
6,BEL-039,Matrix Acidizing 15% HCl,22,0,49,0,0,29,121,360,Lay. R5 (1486-1489.5) mMD,1486-1496.5,10.5,1.975206612,BEL-039,239,1.975206611570248,4.2975201175465827e-10,high_gain,100,kept,1.7267758591352151,-2.0798866306351047,2.5152332194994855,-2.0798866306351047,-2.0798866306351047,1.9976508132706148,11.523809523809524,4.804021044733257,2.4423470353692043,1486.0,1496.5,1491.25,10.5,10.5,0.0,1.0,1.0,0.0,0.22,0.49,0.29,0.0,0.46,0.4166666666666667,-0.27,1.0416331094789772,3.0,Claystone,11.523809523809524,11.523809523809524,BEL,R,15.0,0.0,0.0,0.0,0.0,4.35,0.0,10.363200000000006,69.0,,,0.051,0.0266,,,,1.0,0.8679,0.0,4.0,0.0,0.0,0.0,0.3779,train
7,L5A-301,Matrix Acidizing 15% HCl,55,0,0,45,0,0,450,988,Lay. R5 & S (1646-1649.5) mMD,1646-1649.5,3.5,1.195555556,L5A-301,538,1.1955555555555555,4.4444448121794267e-10,high_gain,100,kept,3.172798583340803,-1.5367316179715313,-1.5367316179715313,2.974127888545319,-1.5367316179715313,-1.5367316179715313,128.57142857142858,6.111467339502679,1.5040773967762742,1646.0,1649.5,1647.75,3.5,3.5,0.0,1.0,1.0,0.0,0.55,0.45,0.0,0.0,1.2173913043478262,0.009900990099009901,0.10000000000000003,0.6881388137135884,2.0,Sandstone,128.57142857142858,128.57142857142858,L5A,MULTI,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3527999999998883,23.0,55.7976,24.179849999999995,0.1384,0.07649999999999998,2.3132,,,,,,3.0,,,,,train
9,L5A-225,Matrix Acidizing 15% HCl,35,0,0,55,0,10,436,799,Lay. R36 (1325-1328) & R37 (1330.5-1333) mMD,1325-1333,8.0,0.832568807,L5A-225,363,0.8325688073394495,3.394494685338145e-10,high_gain,100,kept,2.259891124361803,-2.0027887526795123,-2.0027887526795123,2.706741448632822,-2.0027887526795123,1.0417336850439107,54.5,6.07993319509559,2.1972245773362196,1325.0,1333.0,1329.0,8.0,8.0,0.0,1.0,1.0,0.0,0.35,0.55,0.1,0.0,0.6428571428571428,0.12087912087912088,-0.20000000000000007,0.926506603289533,3.0,Shale,54.5,54.5,L5A,R,15.0,0.0,0.0,0.0,0.0,1.5,0.0,8.0,81.0,62.589,71.555,,,,,,,,,1.0,,,,,train
10,L5A-206,Mud Acidizing 12% HCl : 3% HF,50,0,0,50,0,0,110,632,Lay. W1 (1546.5-1550); W3 (1554.5-1556.5); W42 (1571.5-1574.5) mMD,1546-1574.5,28.5,4.745454545,L5A-206,522,4.745454545454545,4.545448462067725e-10,high_gain,100,kept,3.076747011227506,-1.5383735056137535,-1.5383735056137535,3.076747011227506,-1.5383735056137535,-1.5383735056137535,3.8596491228070176,4.709530201312334,3.3843902633457743,1546.0,1574.5,1560.25,28.5,28.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0,0.009900990099009901,0.0,0.6931471805599453,2.0,Sandstone,3.8596491228070176,3.8596491228070176,L5A,W,12.0,3.0,1.0,0.5,0.5,0.0,3.0,,,,,,,,,,,,,,,,,,train
11,L5A-260,Matrix Acidizing 15% HCl,33,0,0,62,5,0,392,439,Lay. R5 (1593-1595) m,1593-1595;,2.0,0.119897959,L5A-260,47,0.11989795918367346,1.8367346532599527e-10,low_gain,100,kept,2.2995423478090267,-1.90515027158194,-1.90515027158194,2.923163465720361,0.4927450012164307,-1.90515027158194,196.0,5.973809611869261,1.0986122886681098,1593.0,1595.0,1594.0,2.0,2.0,0.0,1.0,1.0,0.0,0.33,0.62,0.0,0.05,0.5396825396825398,0.010416666666666668,-0.29,0.812027476354491,3.0,Shale,196.0,196.0,L5A,R,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,train
12,L5A-281,Matrix Acidizing 15% HCl,100,0,0,0,0,0,2564,3275,Lay. X2 (1835-1994) m,1835-1994;,159.0,0.277301092,L5A-281,711,0.27730109204368175,4.3681724903876784e-11,low_gain,100,kept,4.419420756715896,-0.8838841513431799,-0.8838841513431799,-0.8838841513431799,-0.8838841513431799,-0.8838841513431799,16.12578616352201,7.84971375760487,5.075173815233827,1835.0,1994.0,1914.5,159.0,159.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,101.0,0.009900990099009901,1.0,-0.0,1.0,Sandstone,16.12578616352201,16.12578616352201,L5A,X,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,train
